UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:40:19.188 automation.py[79] main -> Starts, Current Cursor Position: (998, 428)
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (196,514,256,562)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (196,562,278,590)[82x28]    Name: 分屏录制    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CheckBoxControl    ClassName:     AutomationId:     Rect: (278,514,360,590)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    TogglePattern.ToggleState: ToggleState.Off    SupportedPattern: InvokePattern LegacyIAccessiblePattern TogglePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (278,514,338,562)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (278,562,360,590)[82x28]    Name: 按键显示    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (360,514,442,590)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (360,514,420,562)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (360,562,442,590)[82x28]    Name: 桌面画板    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (442,514,524,590)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (442,514,502,562)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (442,562,524,590)[82x28]    Name: 本地直播    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (546,228,908,595)[362x367]    Name:     Handle: 0x0(0)    Depth: 7    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (546,228,908,530)[362x302]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (547,249,897,529)[350x280]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (800,530,908,582)[108x52]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (800,537,830,575)[30x38]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (830,530,888,582)[58x52]    Name: 场景编辑    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (58,595,908,676)[850x81]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (58,595,908,676)[850x81]    Name:     Handle: 0x0(0)    Depth: 5    SupportedPattern: LegacyIAccessiblePattern
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (496,595,532,676)[36x81]    Name: 声音：    Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (139,615,179,655)[40x40]    Name: 停止    Handle: 0x0(0)    Depth: 6    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                        ControlType: SliderControl    ClassName:     AutomationId:     Rect: (660,624,716,646)[56x22]    Name:     Handle: 0x0(0)    Depth: 6    ValuePattern.Value: 128    SupportedPattern: LegacyIAccessiblePattern ValuePattern
                        ControlType: SliderControl    ClassName:     AutomationId:     Rect: (568,624,624,646)[56x22]    Name:     Handle: 0x0(0)    Depth: 6    ValuePattern.Value: 128    SupportedPattern: LegacyIAccessiblePattern ValuePattern
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (630,623,654,647)[24x24]    Name: 系统声音    Handle: 0x0(0)    Depth: 6    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (538,623,562,647)[24x24]    Name: 麦声音    Handle: 0x0(0)    Depth: 6    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (225,595,264,676)[39x81]    Name: 时长：    Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (270,595,490,676)[220x81]    Name: 0    Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern
                        ControlType: CheckBoxControl    ClassName:     AutomationId:     Rect: (77,611,125,659)[48x48]    Name:  开始    Handle: 0x0(0)    Depth: 6    TogglePattern.ToggleState: ToggleState.Off    SupportedPattern: InvokePattern LegacyIAccessiblePattern TogglePattern
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (869,660,899,676)[30x16]    Name: v4.1.7    Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (58,228,178,595)[120x367]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern
                    ControlType: CustomControl    ClassName: UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:42:20.525 automation.py[79] main -> Starts, Current Cursor Position: (1704, 261)
ControlType: PaneControl    ClassName: #32769    AutomationId:     Rect: (0,0,1920,1080)[1920x1080]    Name: 桌面 1    Handle: 0x10010(65552)    Depth: 0    SupportedPattern: LegacyIAccessiblePattern
    ControlType: WindowControl    ClassName: ConsoleWindowClass    AutomationId: Console Window    Rect: (-8,-8,1928,1048)[1936x1056]    Name: 管理员: 命令提示符 - python  automation.py    Handle: 0x22067E(2229886)    Depth: 1    ScrollPattern.HorizontalScrollPercent: 0.0    ScrollPattern.VerticalScrollPercent: 0.0    SupportedPattern: LegacyIAccessiblePattern ScrollPattern TransformPattern WindowPattern
        ControlType: ScrollBarControl    ClassName:     AutomationId: NonClientVerticalScrollBar    Rect: (1903,23,1920,1040)[17x1017]    Name: 垂直滚动条    Handle: 0x0(0)    Depth: 2    RangeValuePattern.Value: 0.0    SupportedPattern: LegacyIAccessiblePattern RangeValuePattern
            ControlType: ButtonControl    ClassName:     AutomationId: UpButton    Rect: (1903,23,1920,40)[17x17]    Name: 上一行    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ThumbControl    ClassName:     AutomationId: ScrollbarThumb    Rect: (1903,40,1920,48)[17x8]    Name: 位置    Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId: DownPageButton    Rect: (1903,48,1920,1023)[17x975]    Name: 向下翻页    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId: DownButton    Rect: (1903,1023,1920,1040)[17x17]    Name: 下一行    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
        ControlType: TitleBarControl    ClassName:     AutomationId:     Rect: (16,-5,1920,23)[1904x28]    Name:     Handle: 0x0(0)    Depth: 2    ValuePattern.Value: 管理员: 命令提示符 - python  automation.py    SupportedPattern: LegacyIAccessiblePattern ValuePattern
            ControlType: MenuBarControl    ClassName:     AutomationId: MenuBar    Rect: (0,0,22,22)[22x22]    Name: 系统    Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
                ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (0,0,22,22)[22x22]    Name: 系统    Handle: 0x0(0)    Depth: 4    ExpandCollapsePattern.ExpandCollapseState: ExpandCollapseState.Collapsed    SupportedPattern: ExpandCollapsePattern InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1779,8,1826,22)[47x14]    Name: 最小化    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1826,8,1872,22)[46x14]    Name: 还原    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1872,8,1928,22)[56x14]    Name: 关闭    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
        ControlType: DocumentControl    ClassName:     AutomationId: Text Area    Rect: (-8,-8,1928,1048)[1936x1056]    Name: Text Area    Handle: 0x0(0)    Depth: 2    TextPattern.Text: 
C:\Users\CHENGUANGTAO\Deskto    SupportedPattern: LegacyIAccessiblePattern TextPattern
2021-07-30 15:42:21.803 automation.py[114] main -> Ends

UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:42:34.724 automation.py[79] main -> Starts, Current Cursor Position: (1442, 602)
ControlType: PaneControl    ClassName: #32769    AutomationId:     Rect: (0,0,1920,1080)[1920x1080]    Name: 桌面 1    Handle: 0x10010(65552)    Depth: 0    SupportedPattern: LegacyIAccessiblePattern
    ControlType: WindowControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (964,590,1824,1118)[860x528]    Name: EV录屏    Handle: 0x130DAA(1248682)    Depth: 1    SupportedPattern: LegacyIAccessiblePattern
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (968,599,1818,1117)[850x518]    Name:     Handle: 0x0(0)    Depth: 2    SupportedPattern: LegacyIAccessiblePattern
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (968,599,1818,663)[850x64]    Name:     Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
                ControlType: TextControl    ClassName:     AutomationId:     Rect: (984,621,1054,641)[70x20]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1574,593,1606,625)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1578,605,1610,637)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1462,790,1494,822)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1390,900,1422,932)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1401,924,1433,956)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1439,924,1471,956)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (629,978,1479,1426)[850x448]    Name:     Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
